,Source IP ,Destinagation IP,Sent Time,Received Time,Node ID,Temperature,Humidity,Light,Sound,PIR,Distance,Size,anomaly
0,192.168.43.188,192.168.43.241,2021-12-06:15:23:36,2021-12-06:15:23:36,2,27.2,65.5,147,14,0,17,173B,1
3,192.168.43.188,192.168.43.241,2021-12-06:15:23:46,2021-12-06:15:23:46,2,27.3,65.5,155,14,0,17,173B,1
5,192.168.43.188,192.168.43.241,2021-12-06:15:23:53,2021-12-06:15:23:53,2,27.2,65.4,148,14,0,17,172B,1
7,192.168.43.188,192.168.43.241,2021-12-06:15:24:00,2021-12-06:15:24:00,2,27.2,65.4,149,14,1,17,171B,1
9,192.168.43.188,192.168.43.241,2021-12-06:15:24:07,2021-12-06:15:24:07,2,27.1,65.5,159,14,0,17,173B,1
12,192.168.43.188,192.168.43.241,2021-12-06:15:24:17,2021-12-06:15:24:17,2,27.2,65.5,161,14,0,17,172B,0
14,192.168.43.188,192.168.43.241,2021-12-06:15:24:34,2021-12-06:15:24:34,2,27.3,65.4,163,14,0,17,173B,1
16,192.168.43.188,192.168.43.241,2021-12-06:15:24:41,2021-12-06:15:24:41,2,27.3,65.4,163,14,0,17,173B,1
19,192.168.43.188,192.168.43.241,2021-12-06:15:24:51,2021-12-06:15:24:51,2,27.2,65.4,163,14,0,17,172B,1
